id,name,slug,description,image,width,height,price,stock
26,Star Wars Trilogy,star-wars-trilogy,A science fiction adventure across the galaxy,https://kinorevuen.dk/wp-content/uploads/2023/07/star-wars-trilog.jpeg,24,36,36.99,9
27,The 007 Movie,007-movie,A classic spy action thriller,https://kinorevuen.dk/wp-content/uploads/2023/07/007-teaserplk.jpg,24,36,27.99,13
28,Empire of Light,empire-of-light,A romantic drama set around a cinema,https://kinorevuen.dk/wp-content/uploads/2023/07/empire-of-light-poster.webp,24,36,32.99,8
29,The Courier,the-courier,A historical spy thriller,https://kinorevuen.dk/wp-content/uploads/2023/07/thecourier-poster-dk.webp,24,36,29.99,11
30,65,65,A science fiction survival adventure,https://kinorevuen.dk/wp-content/uploads/2023/07/65-dansk-plakat.webp,24,36,39.99,7
31,The Perfect Chef,the-perfect-chef,A drama about food and ambition,https://kinorevuen.dk/wp-content/uploads/2023/07/den-perfekte-chef-dansk.webp,24,36,35.99,6
32,The Great Silence,the-great-silence,A quiet Danish drama,https://kinorevuen.dk/wp-content/uploads/2023/07/denstorestilhedplakat.webp,24,36,28.99,12
33,Wonder Woman 1984,wonder-woman-1984,A superhero action adventure,https://kinorevuen.dk/wp-content/uploads/2023/07/wonder-woman-1984-plakat-1.webp,24,36,30.99,10
34,Three Thousand Years of Longing,three-thousand-years-of-longing,A fantasy romance about stories and wishes,https://kinorevuen.dk/wp-content/uploads/2023/07/tretusindeaarslaengselplaka.webp,24,36,35.99,8
35,Mamma Mia 2,mamma-mia-2,A musical romance filled with music and memories,https://kinorevuen.dk/wp-content/uploads/2023/07/mamma-mia-2-plakat.webp,24,36,38.99,5
36,Jurassic World Fallen Kingdom,jurassic-world-fallen-kingdom,A science fiction adventure with dinosaurs,https://kinorevuen.dk/wp-content/uploads/2023/07/jurassicworld-fallen.webp,24,36,34.99,9
37,The Little Mermaid,the-little-mermaid,A fantasy family adventure beneath the sea,https://kinorevuen.dk/wp-content/uploads/2023/05/den-lille-havfrue-plakat.jpg,24,36,26.99,15
38,Ratatouille,ratatouille,An animated comedy about a chef with a special talent,https://kinorevuen.dk/wp-content/uploads/2022/04/ratatouille.jpeg,24,36,32.99,10
39,Monsters Inc,monsters-inc,An animated family comedy in a monster city,https://kinorevuen.dk/wp-content/uploads/2022/04/monsters-inc.jpeg,24,36,29.99,12
40,The Lion King,the-lion-king,An animated family adventure about a young king,https://kinorevuen.dk/wp-content/uploads/2022/01/lion-king-teaser.jpg,24,36,39.99,8
41,Spider-Man,spider-man,A superhero action adventure,https://kinorevuen.dk/wp-content/uploads/2022/04/spiderman.jpeg,24,36,36.99,7
42,Tomb Raider,tomb-raider,An action adventure about a legendary explorer,https://kinorevuen.dk/wp-content/uploads/2022/06/tomb-raider.jpeg,24,36,30.99,9
43,The Bookshop,the-bookshop,A drama about a woman opening a bookshop,https://kinorevuen.dk/wp-content/uploads/2022/01/bookshop-plakat.jpg,24,36,24.99,16
44,The Watch,the-watch,A science fiction thriller about an alien threat,https://kinorevuen.dk/wp-content/uploads/2022/01/thewatchplakat.jpg,24,36,33.99,6
45,Rock of Ages,rock-of-ages,A musical comedy filled with classic rock songs,https://kinorevuen.dk/wp-content/uploads/2022/01/offspring-entertainment-rock-of-ages-400x600c.jpg,24,36,42.99,5
46,Young Astrid,young-astrid,A historical drama about a young writer,https://kinorevuen.dk/wp-content/uploads/2022/01/unge-astrid-poster1.jpg,24,36,35.99,10
47,Bloodshot,bloodshot,A superhero action film about a revived soldier,https://kinorevuen.dk/wp-content/uploads/2021/12/bloodshotplakat.jpg,24,36,27.99,14
48,The Addams Family 2,the-addams-family-2,An animated family comedy with a strange family,https://kinorevuen.dk/wp-content/uploads/2021/10/familien-addams-2.jpeg,24,36,31.99,8
49,Spirit Untamed,spirit-untamed,An animated family adventure about a wild horse,https://kinorevuen.dk/wp-content/uploads/2021/10/spirit-2-en-fri-sjael.jpeg,24,36,29.99,11
50,Dumbo,dumbo,A fantasy family film about a flying elephant,https://kinorevuen.dk/wp-content/uploads/2021/07/dumbo.jpg,24,36,40.99,7
